Task name,Start stamp,End stamp,Duration,Number of errors,Completed,SubTask,Kod badanego,Testowany interfejs
SetVideo,12:23:55.79,12:23:58.815,3736.6866999999907,0,True,,sub-01,Przyciski wzrokowe
PauseAndResume,12:24:01.864,12:24:31.388,29523.934300000008,0,True,,sub-01,Przyciski wzrokowe
ReduceVolume,12:24:41.4,12:24:50.337,10769.597100000014,0,True,,sub-01,Przyciski wzrokowe
SetPanelAndVideo,12:24:57.637,12:25:20.757,23119.96710000001,1,True,,sub-01,Przyciski wzrokowe
FeedForward,12:25:27.181,12:25:36.786,9604.815499999997,0,True,,sub-01,Przyciski wzrokowe
IncreaseVolume,12:25:42.839,12:25:52.876,10036.521399999998,1,True,,sub-01,Przyciski wzrokowe
PauseAndResume,12:25:57.179,12:26:19.372,22192.953799999992,4,True,,sub-01,Przyciski wzrokowe
SetPanelAndVideo,12:26:26.113,12:27:05.18,38904.7738,5,True,,sub-01,Przyciski wzrokowe
Rewind,12:27:11.11,12:27:19.284,8273.506200000002,3,True,,sub-01,Przyciski wzrokowe
Pause,12:27:19.304,12:27:23.519,4214.665799999959,3,False,,sub-01,Przyciski wzrokowe
